epa_rain_zone,state,location_code,station_name,jurisdiction_county,jurisdiction_city,primary_landuse,secondary_landuse,percent_impervious,start_date,days since last rain,precipitation_depth_(in),season,parameter,fraction,units,res,qual,drainage_area_acres,latitude,longitude
3,AL,ALJCC001,C001,Jefferson_County,City_of_Birmingham,ID_MIX,FW,,11/27/2001,,0.2,FA,Copper,Total,ug/L,50,=,336,33.53472222,86.79083333
3,AL,ALJCC001,C001,Jefferson_County,City_of_Birmingham,ID_MIX,FW,71.9,11/27/2001,,0.2,FA,Copper,Total,ug/L,50,=,336,33.53472222,86.79083333
3,AL,ALJCC001,C001,Jefferson_County,City_of_Birmingham,ID_MIX,FW,,1/19/2002,,1.6,WI,Copper,Total,ug/L,20,<,336,33.53472222,86.79083333
3,AL,ALJCC001,C001,Jefferson_County,City_of_Birmingham,ID_MIX,FW,71.9,1/19/2002,,1.6,WI,Copper,Total,ug/L,20,<,336,33.53472222,86.79083333
3,AL,ALJCC001,C001,Jefferson_County,City_of_Birmingham,ID_MIX,FW,71.9,4/22/2002,,0.17,SP,Copper,Total,ug/L,50,=,336,33.53472222,86.79083333
3,AL,ALJCC001,C001,Jefferson_County,City_of_Birmingham,ID_MIX,FW,71.9,8/9/2002,,0.32,SU,Copper,Total,ug/L,20,=,336,33.53472222,86.79083333
3,AL,ALJCC001,C001,Jefferson_County,City_of_Birmingham,ID_MIX,FW,71.9,5/5/2003,,0.6,SP,Copper,Total,ug/L,60,=,336,33.53472222,86.79083333
3,AL,ALJCC001,C001,Jefferson_County,City_of_Birmingham,ID_MIX,FW,71.9,6/27/2003,,0.4,SU,Copper,Total,ug/L,20,<,336,33.53472222,86.79083333
3,AL,ALJCC001,C001,Jefferson_County,City_of_Birmingham,ID_MIX,FW,71.9,12/23/2003,,0.45,WI,Copper,Total,ug/L,40,=,336,33.53472222,86.79083333
3,AL,ALJCC001,C001,Jefferson_County,City_of_Birmingham,ID_MIX,FW,71.9,6/7/2004,,0.3,SU,Copper,Total,ug/L,20,<,336,33.53472222,86.79083333
3,AL,ALJCC001,C001,Jefferson_County,City_of_Birmingham,ID_MIX,FW,71.9,9/7/2004,,0.4,FA,Copper,Total,ug/L,30,=,336,33.53472222,86.79083333
3,AL,ALJCC001,C001,Jefferson_County,City_of_Birmingham,ID_MIX,FW,71.9,12/22/2004,,0.38,WI,Copper,Total,ug/L,20,<,336,33.53472222,86.79083333
